sponsor_id, company_name, email, phone_number
1,Etisalat,info@etisalat.eg,+20 111 234 5678
2,Khazna,contact@khazna.app,+20 155 678 1234
3,Benya,info@benya.com,+20 100 987 6543
4,Smart Africa,support@smartafrica.org,+250 788 456 123
5,Orange,info@orange.com,+20 120 345 6789
6,Red Bull,contact@redbull.com,+43 1 2345 6789
7,Juhayna,info@juhayna.com,+20 150 678 4321
8,EdVentures,contact@edventures.com,+20 111 345 6789
9,Vezeeta,support@vezeeta.com,+20 100 567 8901
10,FLAT6LABS,info@flat6labs.com,+20 155 432 1098
11,Career 180,support@career180.com,+20 122 678 5432
12,Naqla,info@naqla.com,+20 100 234 5678
13,Telecom Egypt,contact@telecomegypt.com.eg,+20 160 123 4567
14,Talents Arena,info@talentsarena.com,+20 122 987 6543
15,ITIDA,info@itida.gov.eg,+20 257 890 1234
16,CIB,contactus@cibeg.com,+20 190 567 8901
17,MasterCard,info@mastercard.com,+1 800 123 4567
18,Halan,support@halan.com,+20 111 678 5432
19,Vodafone,info@vodafone.com.eg,+20 168 678 4321
20,Noon,support@noon.com,+971 800 1234
21,Bosta,contact@bosta.co,+20 112 345 6789
