organization_id,name,email,phone
1,Misr El Kheir Foundation,info@misrelkheir.org,01123456789
2,Resala Charity Organization,resala@resala.org,01098765432
3,Magdi Yacoub Heart Foundation,contact@myhf.org,01234567890
4,Ubain Community Development Association,info@ubian.org,01122334455
5,Orphan Care Society in Port Said,contact@orphanps.org,01233445566
6,Local Community Development Association,lcd@lcdass.org,01011223344
7,Red Sea Environmental Protection Association,info@rsepa.org,01133221100
8,Nubian Community Development Association,nubianassoc@nubian.org,01054567890
9,Egyptian Heritage Preservation Society,info@heritageegypt.org,01223334455
10,Rural Women Development Association,ruralwomendev@rwdass.org,01066554433
11,The Egyptian Red Crescent Society,info@erc.org,01123455678
12,World Wildlife Fund Egypt,contact@wwf.org,01099112233
13,Egyptian Environment Association,info@eea.org,01111223344
14,Friends of Egypt’s Environment,info@foee.org,01222334411
15,Social Solidarity Foundation,ssfoundation@ssf.org,01099887766
16,Alwan Society for Environmental Studies,alwan@alwansociety.org,01144556677
17,Egyptian Youth Development Organization,eydo@eydo.org,01022334456
18,Future Leaders Society,leaders@futureleads.org,01122335566
19,Cultural Exchange Society,ces@culturex.org,01033221100
20,Youth for Change,info@y4c.org,01255667788
21,Education and Development Initiative,edi@edu.org,01133445577
22,Global Health Awareness,gha@globalhealth.org,01266778899
23,Cairo Women's Empowerment,info@cwe.org,01122334422
24,Alexandria Charity Foundation,contact@alexcharity.org,01077889900
25,Community Care Foundation,ccf@carefound.org,01233445577
26,National Literacy Project,info@nationalliteracy.org,01155667799
27,The Nile Heritage Foundation,info@thenileheritage.org,01066778822
28,Save the Children Egypt,egypt@savechildren.org,01122334477
29,Health for All Initiative,hfa@healthforall.org,01222334488
30,Volunteer Egypt,contact@volunteeregypt.org,01033221133
31,New Horizons Development,nhe@newhorizons.org,01044556699
32,Al-Azhar Foundation,info@alazharfoundation.org,01144553322
33,Hope for Tomorrow,hft@hopefortomorrow.org,01277889944
34,Egyptian Arts Foundation,artsegypt@arts.org,01033221177
35,Al-Ahram Media Foundation,media@alahram.org,01122334411
36,Institute of Egyptian Studies,studies@ies.org,01022446677
37,Better Life Foundation,info@betterlife.org,01155667788
38,Nile Volunteers,volunteers@nilevol.org,01033221155
39,National Cancer Institute,info@cancerinstitute.org,01233445522
40,Young Innovators Network,younginnovators@yin.org,01144556600
41,Cultural Heritage Protection Society,heritageprotect@chps.org,01255667700
42,Green Egypt Initiative,greenegypt@gei.org,01066778811
43,Arab Society for Scientific Research,assr@arabsociety.org,01022334400
44,Egypt Tourism Development Corporation,info@tourismegypt.org,01111223355
45,International Youth Council,iyc@internationalyouth.org,01222334444
46,Aswan Development Fund,adf@aswan.org,01055443311
47,The Egyptian Education Foundation,educate@eef.org,01133445599
48,Social Awareness Program,sap@socawareness.org,01044667733
49,Egyptian Society for Sustainable Development,essd@essd.org,01233221144
50,Building Egypt Foundation,be@buildingegypt.org,01055443322
51,Future of Egypt,future@foe.org,01122334455
52,Scientific Innovation Network,innovation@sin.org,01255667722
53,The National Museum of Egyptian Civilization,info@nmec.org,01088997711
54,Egyptian Heritage Society,heritagesoc@egypt.org,01122334488
55,International Women's Rights Organization,iwr@womenrights.org,01044556633
56,Al-Masryoon for Social Development,amsd@masryoon.org,01122334466
57,Future Egypt Organization,feo@futureegypt.org,01233445533
58,Egyptian Archaeological Society,info@egyptarchaeology.org,01077889911
59,Volunteer for Change,vfc@volunteerchange.org,01133445511
60,Egyptian Green Foundation,green@egreen.org,01055667744
