venue_id,name,city,capacity
1,Suez Canal Museum,Suez,150
2,Greater Cairo Library,Cairo,200
3,Hurghada Aquarium Museum,Hurghada,100
4,Karnak Temple,Luxor,2000
5,Museum of Islamic Art,Cairo,500
6,Nubia Museum,Aswan,150
7,Port Said Military Museum,Port Said,300
8,Red Sea Environmental Protection Association,Hurghada,120
9,Alexandrina Library,Alexandria,1000
10,El Sawy Culturewheel,Cairo,800
11,Port Said Military Museum,Port Said,300
12,Sohag National Museum,Sohag,250
13,Cairo International Convention Centre,Cairo,5000
14,Grand Nile Tower Hotel,Cairo,2000
15,The British University In Egypt,Cairo,1000
16,Maritim Jolie Ville Kings Island Luxor,Luxor,1500
17,National Research Centre,Cairo,400
18,Alexandria Sporting Club,Alexandria,1500
19,Egypt International Exhibition Center,Cairo,20000
20,Sharm El Sheikh International Congress Center,Sharm El-Sheikh,1500
21,The Great Pyramid Inn Rooftop,Giza,100
22,Mansoura University,Mansoura,3000
23,Tanta Cultural Palace,Gharbia,500
24,Lake Qarun Resort,Fayoum,800
25,Damietta Cultural Center,Damietta,400
26,New Damietta Corniche Area,Damietta,1000
