id,user_id,event_id,ticket_price,payment_method,status,date
1,417,1,0,Cash,accepted,2020-11-07
2,1796,1,200,Cash,accepted,2020-11-07
3,66,1,0,Paypal,accepted,2020-11-07
4,2292,1,200,Cash,accepted,2020-11-07
5,2473,1,500,Debit Card,rejected,2020-11-07
6,2080,1,500,Cash,accepted,2020-11-07
7,340,1,500,Debit Card,rejected,2020-11-07
8,1512,1,200,Cash,accepted,2020-11-07
9,1373,1,0,Cash,accepted,2020-11-07
10,1154,1,500,Cash,accepted,2020-11-07
11,1695,1,0,Paypal,accepted,2020-11-07
12,736,1,0,Cash,accepted,2020-11-07
13,2483,1,0,Debit Card,accepted,2020-11-07
14,846,1,0,Paypal,accepted,2020-11-07
15,1413,1,200,Cash,rejected,2020-11-07
16,1080,1,500,Debit Card,accepted,2020-11-07
17,689,1,0,Paypal,accepted,2020-11-07
18,1204,1,0,Cash,accepted,2020-11-07
19,457,1,500,Cash,rejected,2020-11-07
20,448,1,500,Paypal,accepted,2020-11-07
21,498,1,500,Debit Card,accepted,2020-11-07
22,535,1,200,Cash,accepted,2020-11-07
23,1561,1,200,Cash,accepted,2020-11-07
24,266,1,200,Cash,rejected,2020-11-07
25,1752,1,500,Cash,rejected,2020-11-07
26,2230,1,500,Cash,accepted,2020-11-07
27,2313,1,0,Cash,accepted,2020-11-07
28,1144,1,0,Cash,accepted,2020-11-07
29,1096,1,200,Cash,accepted,2020-11-07
30,607,1,500,Cash,accepted,2020-11-07
31,506,1,500,Debit Card,rejected,2020-11-07
32,552,1,0,Cash,accepted,2020-11-07
33,2035,1,500,Debit Card,rejected,2020-11-07
34,536,1,0,Cash,rejected,2020-11-07
35,637,1,0,Cash,accepted,2020-11-07
36,1609,1,500,Paypal,accepted,2020-11-07
37,2421,1,0,Cash,accepted,2020-11-07
38,1852,1,200,Cash,accepted,2020-11-07
39,1686,1,0,Debit Card,accepted,2020-11-07
40,766,1,0,Cash,accepted,2020-11-07
41,2388,1,200,Paypal,accepted,2020-11-07
42,2144,1,0,Paypal,accepted,2020-11-07
43,2248,1,200,Cash,accepted,2020-11-07
44,2393,1,500,Debit Card,accepted,2020-11-07
45,2302,2,300,Debit Card,accepted,2020-02-08
46,1042,2,400,Paypal,accepted,2020-02-08
47,1271,2,400,Cash,accepted,2020-02-08
48,612,2,600,Debit Card,accepted,2020-02-08
49,1052,2,300,Cash,rejected,2020-02-08
50,1314,2,600,Debit Card,accepted,2020-02-08
51,1654,2,300,Debit Card,accepted,2020-02-08
52,1892,2,400,Cash,rejected,2020-02-08
53,50,2,300,Debit Card,accepted,2020-02-08
54,1691,2,400,Debit Card,accepted,2020-02-08
