id,speaker_id,event_id,presentation_titles,stage_order
1,58,1,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
1,29,1,The Role of Dopamine in Motivation and Behavior,1
1,69,1,Leveraging Social Media for Business Growth in 2024,1
2,69,2,The Psychology of Consumer Behavior: How Marketing Influences Decisions,1
2,6,2,Debunking Fitness Myths: What Really Works?,1
2,45,2,Exploring Renewable Energy: Advances in Solar and Wind Power,1
2,36,2,Analyzing Major Sports Trends: From Esports to Traditional Games,1
2,22,2,The Science of Sleep: How It Affects Productivity and Longevity,1
2,37,2,The Role of Dopamine in Motivation and Behavior,1
2,20,2,Mental Health Awareness in the Digital Age,1
2,68,2,Exploring Renewable Energy: Advances in Solar and Wind Power,1
2,59,2,Urban Farming: The Future of Sustainable Food Production,1
2,29,2,The Role of Dopamine in Motivation and Behavior,1
2,5,2,The Impact of Wearable Tech on Personal Fitness Goals,1
2,53,2,Startup Survival: Scaling from Idea to Execution,1
3,28,3,Startup Survival: Scaling from Idea to Execution,1
3,43,3,Preserving Indigenous Cultures in a Globalized World,1
3,21,3,Disruptive Innovations That Changed Entire Industries,1
3,58,3,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
3,69,3,Leveraging Social Media for Business Growth in 2024,1
3,42,3,The Future of Quantum Computing: Possibilities and Challenges,1
4,14,4,CRISPR and Gene Editing: Ethical Implications and Innovations,1
4,38,4,The Mysteries of Space: What We’ve Learned from the James Webb Telescope,1
4,62,4,Crypto vs. Traditional Finance: The Great Debate,1
4,29,4,How Social Media Shapes Modern Psychology,1
4,64,4,The Role of Dopamine in Motivation and Behavior,1
4,26,4,Building Resilient Teams: Lessons from Sports Leadership,1
4,45,4,Exploring Renewable Energy: Advances in Solar and Wind Power,1
5,43,5,The Role of Art in Activism and Social Change,1
5,28,5,Networking Strategies for Aspiring Entrepreneurs,1
5,70,5,Crypto vs. Traditional Finance: The Great Debate,1
5,32,5,Web Development in the AI Era: Opportunities and Challenges,1
5,3,5,Crypto vs. Traditional Finance: The Great Debate,1
5,62,5,Crypto vs. Traditional Finance: The Great Debate,1
6,30,6,Networking Strategies for Aspiring Entrepreneurs,1
6,16,6,Debunking Fitness Myths: What Really Works?,1
6,63,6,Digital Transformation: The Future of Small and Medium Businesses,1
6,62,6,The Rise of FinTech: Transforming Financial Services,1
6,47,6,CRISPR and Gene Editing: Ethical Implications and Innovations,1
6,52,6,Web Development in the AI Era: Opportunities and Challenges,1
6,13,6,Understanding Emotional Intelligence: Key to Personal and Professional Success,1
6,34,6,Global Market Trends: Opportunities for Emerging Entrepreneurs,1
7,6,7,Debunking Fitness Myths: What Really Works?,1
7,8,7,Leveraging Social Media for Business Growth in 2024,1
7,64,7,Understanding Emotional Intelligence: Key to Personal and Professional Success,1
7,21,7,Disruptive Innovations That Changed Entire Industries,1
7,34,7,The Art of Negotiation: Building Better Business Relationships,1
7,66,7,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
7,54,7,Mind-Body Connection: Yoga for Physical and Mental Wellness,1
7,10,7,Leveraging Social Media for Business Growth in 2024,1
7,3,7,The Rise of FinTech: Transforming Financial Services,1
8,11,8,Urban Farming: The Future of Sustainable Food Production,1
8,58,8,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
8,7,8,Crypto vs. Traditional Finance: The Great Debate,1
9,64,9,Understanding Emotional Intelligence: Key to Personal and Professional Success,1
9,10,9,Leveraging Social Media for Business Growth in 2024,1
9,37,9,Understanding Emotional Intelligence: Key to Personal and Professional Success,1
9,2,9,Global Market Trends: Opportunities for Emerging Entrepreneurs,1
10,48,10,Leveraging Social Media for Business Growth in 2024,1
10,8,10,Leveraging Social Media for Business Growth in 2024,1
10,69,10,Leveraging Social Media for Business Growth in 2024,1
10,32,10,Blockchain Beyond Cryptocurrencies: Revolutionizing Digital Transactions,1
10,46,10,Sports Psychology: Mental Conditioning for Peak Performance,1
10,9,10,The Science of Sleep: How It Affects Productivity and Longevity,1
10,67,10,Debunking Fitness Myths: What Really Works?,1
10,17,10,CRISPR and Gene Editing: Ethical Implications and Innovations,1
10,34,10,Global Market Trends: Opportunities for Emerging Entrepreneurs,1
10,30,10,The Role of Failure in Entrepreneurial Success,1
10,19,10,The Role of Dopamine in Motivation and Behavior,1
10,39,10,Digital Transformation: The Future of Small and Medium Businesses,1
10,21,10,Design Thinking: A Framework for Innovation in Any Field,1
10,6,10,Debunking Fitness Myths: What Really Works?,1
10,23,10,Decoding Personal Finance: From Budgeting to Investments,1
11,25,11,Crypto vs. Traditional Finance: The Great Debate,1
11,41,11,The Impact of AI on Personalized Learning Experiences,1
11,58,11,Leveraging Social Media for Business Growth in 2024,1
11,5,11,Debunking Fitness Myths: What Really Works?,1
11,27,11,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
11,42,11,Progressive Web Apps: The Future of Mobile Experiences,1
12,11,12,Urban Farming: The Future of Sustainable Food Production,1
12,3,12,Decoding Personal Finance: From Budgeting to Investments,1
12,48,12,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
12,33,12,Progressive Web Apps: The Future of Mobile Experiences,1
12,60,12,The Impact of AI on Personalized Learning Experiences,1
12,53,12,Building Resilient Teams: Lessons from Sports Leadership,1
12,16,12,Debunking Fitness Myths: What Really Works?,1
12,2,12,The Art of Negotiation: Building Better Business Relationships,1
12,66,12,The Psychology of Consumer Behavior: How Marketing Influences Decisions,1
12,55,12,The Role of Corporations in Achieving Global Sustainability Goals,1
12,65,12,Transformational Leadership: Inspiring Change in Organizations,1
12,1,12,Debunking Fitness Myths: What Really Works?,1
12,54,12,The Impact of Wearable Tech on Personal Fitness Goals,1
13,48,13,Leveraging Social Media for Business Growth in 2024,1
13,21,13,How AI Is Reshaping the Innovation Landscape,1
13,9,13,The Role of Technology in Modern Healthcare: Telemedicine and Beyond,1
13,46,13,Sports Psychology: Mental Conditioning for Peak Performance,1
13,6,13,Mind-Body Connection: Yoga for Physical and Mental Wellness,1
13,33,13,Web Development in the AI Era: Opportunities and Challenges,1
13,19,13,Understanding Emotional Intelligence: Key to Personal and Professional Success,1
13,18,13,Mental Health Awareness in the Digital Age,1
13,62,13,Crypto vs. Traditional Finance: The Great Debate,1
13,50,13,Debunking Fitness Myths: What Really Works?,1
13,34,13,The Art of Negotiation: Building Better Business Relationships,1
13,61,13,The Mysteries of Space: What We’ve Learned from the James Webb Telescope,1
13,17,13,The Mysteries of Space: What We’ve Learned from the James Webb Telescope,1
13,63,13,Global Market Trends: Opportunities for Emerging Entrepreneurs,1
14,22,14,The Role of Technology in Modern Healthcare: Telemedicine and Beyond,1
14,66,14,Leveraging Social Media for Business Growth in 2024,1
14,39,14,Digital Transformation: The Future of Small and Medium Businesses,1
14,61,14,The Mysteries of Space: What We’ve Learned from the James Webb Telescope,1
14,36,14,Analyzing Major Sports Trends: From Esports to Traditional Games,1
14,40,14,How AI Is Reshaping the Innovation Landscape,1
14,65,14,The Role of Failure in Entrepreneurial Success,1
14,49,14,Circular Economy: Reducing Waste and Maximizing Resources,1
14,35,14,Web Development in the AI Era: Opportunities and Challenges,1
14,69,14,The Psychology of Consumer Behavior: How Marketing Influences Decisions,1
15,10,15,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
15,65,15,Building Resilient Teams: Lessons from Sports Leadership,1
15,54,15,The Impact of Wearable Tech on Personal Fitness Goals,1
15,28,15,The Role of Empathy in Modern Leadership,1
15,49,15,Circular Economy: Reducing Waste and Maximizing Resources,1
15,50,15,Mind-Body Connection: Yoga for Physical and Mental Wellness,1
15,41,15,The Impact of AI on Personalized Learning Experiences,1
15,58,15,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
15,48,15,The Psychology of Consumer Behavior: How Marketing Influences Decisions,1
15,24,15,The Psychology of Consumer Behavior: How Marketing Influences Decisions,1
16,9,16,The Science of Sleep: How It Affects Productivity and Longevity,1
16,26,16,The Role of Empathy in Modern Leadership,1
16,13,16,The Role of Dopamine in Motivation and Behavior,1
16,2,16,Global Market Trends: Opportunities for Emerging Entrepreneurs,1
16,51,16,Analyzing Major Sports Trends: From Esports to Traditional Games,1
16,68,16,The Mysteries of Space: What We’ve Learned from the James Webb Telescope,1
16,4,16,The Role of Corporations in Achieving Global Sustainability Goals,1
16,47,16,The Mysteries of Space: What We’ve Learned from the James Webb Telescope,1
16,16,16,Debunking Fitness Myths: What Really Works?,1
16,21,16,Design Thinking: A Framework for Innovation in Any Field,1
16,33,16,Blockchain Beyond Cryptocurrencies: Revolutionizing Digital Transactions,1
16,66,16,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
16,69,16,Leveraging Social Media for Business Growth in 2024,1
17,16,17,Debunking Fitness Myths: What Really Works?,1
17,11,17,Circular Economy: Reducing Waste and Maximizing Resources,1
17,41,17,Bridging Gaps in Education: The Role of Online Platforms,1
17,62,17,Decoding Personal Finance: From Budgeting to Investments,1
17,37,17,How Social Media Shapes Modern Psychology,1
17,67,17,Mind-Body Connection: Yoga for Physical and Mental Wellness,1
17,2,17,Digital Transformation: The Future of Small and Medium Businesses,1
17,15,17,Decoding Personal Finance: From Budgeting to Investments,1
18,2,18,Global Market Trends: Opportunities for Emerging Entrepreneurs,1
18,3,18,Decoding Personal Finance: From Budgeting to Investments,1
18,57,18,Disruptive Innovations That Changed Entire Industries,1
18,10,18,The Psychology of Consumer Behavior: How Marketing Influences Decisions,1
18,44,18,The Role of 5G in Bridging the Digital Divide,1
18,14,18,The Mysteries of Space: What We’ve Learned from the James Webb Telescope,1
18,49,18,Urban Farming: The Future of Sustainable Food Production,1
18,36,18,The Impact of Technology on Sports Performance and Training,1
18,43,18,The Role of Art in Activism and Social Change,1
18,19,18,Understanding Emotional Intelligence: Key to Personal and Professional Success,1
18,42,18,Web Development in the AI Era: Opportunities and Challenges,1
18,62,18,Crypto vs. Traditional Finance: The Great Debate,1
18,46,18,The Impact of Technology on Sports Performance and Training,1
18,26,18,The Role of Empathy in Modern Leadership,1
18,66,18,Leveraging Social Media for Business Growth in 2024,1
19,9,19,The Role of Technology in Modern Healthcare: Telemedicine and Beyond,1
19,58,19,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
19,66,19,The Psychology of Consumer Behavior: How Marketing Influences Decisions,1
19,28,19,Transformational Leadership: Inspiring Change in Organizations,1
19,69,19,The Psychology of Consumer Behavior: How Marketing Influences Decisions,1
20,21,20,Disruptive Innovations That Changed Entire Industries,1
20,50,20,The Impact of Wearable Tech on Personal Fitness Goals,1
20,49,20,Urban Farming: The Future of Sustainable Food Production,1
20,59,20,Circular Economy: Reducing Waste and Maximizing Resources,1
20,70,20,Decoding Personal Finance: From Budgeting to Investments,1
20,45,20,The Mysteries of Space: What We’ve Learned from the James Webb Telescope,1
20,68,20,Exploring Renewable Energy: Advances in Solar and Wind Power,1
20,34,20,Digital Transformation: The Future of Small and Medium Businesses,1
20,60,20,Bridging Gaps in Education: The Role of Online Platforms,1
20,31,20,The Role of Art in Activism and Social Change,1
20,4,20,Circular Economy: Reducing Waste and Maximizing Resources,1
20,51,20,The Impact of Technology on Sports Performance and Training,1
20,55,20,The Role of Corporations in Achieving Global Sustainability Goals,1
21,13,21,How Social Media Shapes Modern Psychology,1
21,22,21,The Role of Technology in Modern Healthcare: Telemedicine and Beyond,1
21,46,21,Analyzing Major Sports Trends: From Esports to Traditional Games,1
21,47,21,The Mysteries of Space: What We’ve Learned from the James Webb Telescope,1
22,63,22,Digital Transformation: The Future of Small and Medium Businesses,1
22,39,22,The Art of Negotiation: Building Better Business Relationships,1
22,59,22,Urban Farming: The Future of Sustainable Food Production,1
22,13,22,The Role of Dopamine in Motivation and Behavior,1
22,9,22,Mental Health Awareness in the Digital Age,1
22,35,22,Blockchain Beyond Cryptocurrencies: Revolutionizing Digital Transactions,1
22,55,22,Circular Economy: Reducing Waste and Maximizing Resources,1
22,66,22,Leveraging Social Media for Business Growth in 2024,1
23,10,23,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
23,28,23,Startup Survival: Scaling from Idea to Execution,1
23,57,23,How AI Is Reshaping the Innovation Landscape,1
23,27,23,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
23,55,23,Circular Economy: Reducing Waste and Maximizing Resources,1
23,48,23,The Psychology of Consumer Behavior: How Marketing Influences Decisions,1
23,63,23,The Art of Negotiation: Building Better Business Relationships,1
24,11,24,The Role of Corporations in Achieving Global Sustainability Goals,1
24,62,24,Decoding Personal Finance: From Budgeting to Investments,1
